Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0049,南海大道,20,119,6.0,21,2,17.8,63.0,Residential,0.65,3.5,40.0,22.536865,113.93004
P0050,南海大道,20,115,5.8,7,2,17.2,21.0,Residential,0.65,3.5,40.0,22.536192,113.930367
P0051,南海大道,20,133,6.6,15,2,20.0,45.0,Residential,0.65,3.5,40.0,22.534976,113.93083
P0052,南海大道,20,133,6.6,15,2,20.0,45.0,Residential,0.65,3.5,40.0,22.534343,113.931358
P0053,南海大道,20,144,7.2,15,2,21.6,45.0,Residential,0.65,3.5,40.0,22.533932,113.931954
P0054,南海大道,20,129,6.4,15,2,19.4,45.0,Residential,0.65,3.5,40.0,22.535475,113.932665
P0055,华明路,20,252,12.6,31,6,37.8,93.0,Residential,0.5,2.5,40.0,113.927493,22.509565
P0056,华明路,20,240,12.0,31,6,36.0,93.0,Residential,0.5,2.5,40.0,113.927298,22.509675
P0057,华明路,20,266,13.3,31,6,39.9,93.0,Residential,0.5,2.5,40.0,113.927861,22.509769
P0058,华明路,20,232,11.6,31,6,34.8,93.0,Residential,0.5,2.5,40.0,113.927111,22.509865
P0059,华明路,20,221,11.0,31,6,33.2,93.0,Residential,0.5,2.5,40.0,113.927322,22.509974
P0060,华明路,20,192,9.6,31,6,28.8,93.0,Residential,0.5,2.5,40.0,113.926866,22.510107
P0061,华明路,20,140,7.0,12,3,21.0,36.0,Residential,0.65,3.5,40.0,113.926197,22.510237
P0062,华明路,20,136,6.8,12,1,20.4,36.0,Residential,0.65,3.5,40.0,113.926289,22.510346
P0063,华明路,20,178,8.9,30,1,26.7,90.0,Residential,0.5,2.5,40.0,113.926478,22.510439
P0064,华明路,20,204,10.2,30,1,30.6,90.0,Residential,0.5,2.5,40.0,113.926651,22.51052
P0065,华明路,20,211,10.6,30,1,31.6,90.0,Residential,0.5,2.5,40.0,113.927089,22.510588
P0066,华明路,20,230,11.5,30,2,34.5,90.0,Residential,0.5,2.5,40.0,113.92762,22.510721
P0067,华明路,20,181,9.0,28,1,27.2,84.0,Residential,0.5,2.5,40.0,113.927257,22.510856
P0068,华明路,20,159,8.0,28,1,23.8,84.0,Residential,0.65,3.5,40.0,113.927049,22.510988
P0069,华明路,20,156,7.8,28,1,23.4,84.0,Residential,0.65,3.5,40.0,113.926116,22.511146
P0070,华明路,20,135,6.8,19,1,20.2,57.0,Residential,0.65,3.5,40.0,113.925996,22.511249
P0071,华明路,20,179,9.0,28,1,26.8,84.0,Residential,0.5,2.5,40.0,113.926916,22.511377
P0072,华明路,20,171,8.6,28,1,25.6,84.0,Residential,0.5,2.5,40.0,113.927409,22.511498
P0073,华明路,20,184,9.2,28,1,27.6,84.0,Residential,0.5,2.5,40.0,113.92857,22.511617
P0074,华明路,20,231,11.6,28,1,34.7,84.0,Residential,0.5,2.5,40.0,113.929287,22.511802
P0075,华明路,20,220,11.0,28,1,33.0,84.0,Residential,0.5,2.5,40.0,113.929101,22.511987
P0076,华明路,20,291,14.6,28,1,43.7,84.0,Residential,0.5,2.5,40.0,113.929621,22.51224
P0077,华明路,20,317,15.8,28,1,47.6,84.0,Residential,0.3,1.5,40.0,104.788187,31.653533
P0078,华明路,20,266,13.3,28,1,39.9,84.0,Residential,0.5,2.5,40.0,81.933414,54.506373
P0079,华明路,20,216,10.8,24,1,32.4,72.0,Residential,0.5,2.5,40.0,59.078782,77.359334
P0080,华明路,20,138,6.9,19,1,20.7,57.0,Residential,0.65,3.5,40.0,36.223615,100.212328
P0081,华明路,20,101,5.0,7,1,15.2,21.0,Residential,0.65,3.5,40.0,22.51051,113.924422
P0082,华明路,20,95,4.8,7,1,14.2,21.0,Residential,0.65,3.5,40.0,22.510549,113.924948
P0083,华明路,20,104,5.2,7,1,15.6,21.0,Residential,0.65,3.5,40.0,22.510445,113.925391
P0084,华明路,20,103,5.2,7,1,15.4,21.0,Residential,0.65,3.5,40.0,22.510496,113.925747
P0085,华明路,20,149,7.4,19,1,22.4,57.0,Residential,0.65,3.5,40.0,22.510523,113.926648
P0086,华明路,20,196,9.8,19,1,29.4,57.0,Residential,0.5,2.5,40.0,22.510373,113.927609
P0087,华明路,20,229,11.4,21,2,34.3,63.0,Residential,0.5,2.5,40.0,22.510528,113.928543
P0088,华明路,20,279,14.0,21,4,41.8,63.0,Residential,0.5,2.5,40.0,22.51073,113.92957
P0089,华明路,20,268,13.4,21,4,40.2,63.0,Residential,0.5,2.5,40.0,22.510951,113.929949
P0090,华明路,20,304,15.2,31,4,45.6,93.0,Residential,0.3,1.5,40.0,22.511137,113.930325
P0091,华明路,20,349,17.4,31,12,52.4,93.0,Residential,0.3,1.5,40.0,22.511343,113.930775
